BuildingType	PrimaryPropertyType	Agebuilding	NumberofBuildings	NumberofFloors	PropertyGFAParking	LargestPropertyUseType	LargestPropertyUseTypeGFA	SecondLargestPropertyUseType	SecondLargestPropertyUseTypeGFA	ThirdLargestPropertyUseTypeGFA	ENERGYSTARScore	SiteEnergyUse(kBtu)	GHGEmissions(MetricTonsCO2e)	Latitude	Longitude
SPS-District K-12	K-12 School	52	1.0	2.0	0	K-12 School	131909.0	K-12 School	0.0	0.0	88.0	3939221.0	127.52	47.72465187	-122.3539331
SPS-District K-12	K-12 School	56	1.0	1.0	0	K-12 School	245587.0	K-12 School	0.0	0.0	95.0	10444297.0	377.09	47.72595704	-122.3375948
NonResidential	Hotel	13	1.0	3.0	0	Hotel	70609.0	Hotel	0.0	0.0	75.0	3298570.0	88.4	47.72527664	-122.3410974
SPS-District K-12	K-12 School	24	1.0	3.0	0	K-12 School	66588.0	K-12 School	0.0	0.0	75.0	2033074.0	14.17	47.65474724	-122.3490987
NonResidential	Hotel	111	1.0	5.0	0	Hotel	190980.0	Parking	19051.0	0.0	97.0	6935723.0	150.23	47.60477066	-122.33677673
Nonresidential COS	Other	17	1.0	6.0	0	Other-Entertainment/Public Assembly	189750.0	Other-Entertainment/Public Assembly	0.0	0.0	45.0	14169301.0	338.23	47.60810553	-122.3369663
NonResidential	Hospital	61	1.0	5.0	0	Hospital (General Medical & Surgical)	302661.0	Parking	148865.0	0.0	28.0	63362516.0	1874.42	47.66742706	-122.37961578
SPS-District K-12	K-12 School	24	1.0	2.0	0	K-12 School	57904.0	K-12 School	0.0	0.0	91.0	1612965.0	11.24	47.67031559	-122.3622592
Nonresidential COS	Other	9	1.0	4.0	0	Other	42755.0	Office	29219.0	0.0	60.4	10434387.0	220.94	47.60158047	-122.32771508
NonResidential	Other	105	1.0	4.0	0	Museum	58000.0	Museum	0.0	0.0	81.2	2076630.0	42.99	47.59809588	-122.3228283
NonResidential	Hotel	19	1.0	4.0	14200	Hotel	113702.0	Parking	32692.0	0.0	75.0	7753080.0	208.03	47.62557152	-122.347197
SPS-District K-12	K-12 School	25	1.0	4.0	0	K-12 School	289588.0	K-12 School	0.0	0.0	92.0	8747819.0	181.93	47.57604857	-122.2928463
NonResidential	College/University	100	1.0	3.0	0	College/University	64820.0	College/University	0.0	0.0	74.0	2755578.0	60.35	47.61496242	-122.3217405
Campus	College/University	45	1.0	2.0	0	College/University	483000.0	College/University	0.0	0.0	21.2	37430780.0	839.79	47.54550494	-122.3500523
NonResidential	Small- and Mid-Sized Office	13	1.0	2.0	0	Office	92300.0	Data Center	4944.0	0.0	34.2	16238985.0	224.13	47.67843749	-122.2641702
Nonresidential COS	Other	65	1.0	1.0	0	Repair Services (Vehicle, Shoe, Locksmith, etc)	68359.0	Repair Services (Vehicle, Shoe, Locksmith, etc)	0.0	0.0	66.8	6577130.0	211.33	47.59455098	-122.3218127
SPS-District K-12	K-12 School	7	1.0	3.0	0	K-12 School	254523.0	K-12 School	0.0	0.0	62.0	13609040.0	366.61	47.60502046	-122.3018326
SPS-District K-12	K-12 School	14	1.0	3.0	0	K-12 School	78804.0	K-12 School	0.0	0.0	92.0	2447651.0	53.45	47.51466446	-122.2588187
SPS-District K-12	K-12 School	13	1.0	3.0	0	K-12 School	66994.0	K-12 School	0.0	0.0	83.0	2266570.0	39.29	47.61229388	-122.2908219
SPS-District K-12	K-12 School	15	1.0	3.0	0	K-12 School	98357.0	K-12 School	0.0	0.0	90.0	3265995.0	82.55	47.52933502	-122.28844452
NonResidential	Small- and Mid-Sized Office	57	1.0	1.0	0	Office	25765.0	Other	25000.0	0.0	27.6	4316654.0	59.61	47.53830025	-122.2840532
NonResidential	Other	6	1.0	5.0	0	Other-Lodging/Residential	46483.0	Office	37938.0	4579.0	81.2	2017694.0	104.17	47.53830025	-122.2840532
NonResidential	College/University	35	1.0	2.0	0	College/University	52611.0	College/University	0.0	0.0	46.4	4399828.0	105.32	47.65153666	-122.3615464
NonResidential	Residence Hall/Dormitory	14	1.0	4.0	37500	Residence Hall/Dormitory	135520.0	Residence Hall/Dormitory	0.0	0.0	88.0	4418055.0	123.02	47.65076266	-122.3638034
SPS-District K-12	K-12 School	4	1.0	2.0	0	K-12 School	237357.0	Parking	0.0	0.0	96.0	8050977.0	202.97	47.70783561	-122.294626
NonResidential	Other	44	1.0	6.0	0	Other	137565.0	Courthouse	78357.0	0.0	64.8	13901935.0	398.56	47.60411727	-122.3153334
SPS-District K-12	K-12 School	13	1.0	3.0	0	K-12 School	62526.0	K-12 School	0.0	0.0	97.0	1841968.0	49.08	47.68734351	-122.3598407
NonResidential	Small- and Mid-Sized Office	8	1.0	3.0	0	Office	30000.0	Non-Refrigerated Warehouse	15000.0	9015.0	19.0	3349666.0	53.27	47.5353246	-122.3186034
NonResidential	Retail Store	64	1.0	1.0	0	Retail Store	505103.0	Restaurant	24936.0	0.0	98.0	29067292.0	765.56	47.70752593	-122.3267018
NonResidential	Other	51	1.0	3.0	0	Other/Specialty Hospital	47012.0	Other/Specialty Hospital	0.0	0.0	28.4	7613116.0	249.01	47.70624752	-122.3217548
NonResidential	Retail Store	50	1.0	4.0	0	Retail Store	122000.0	Retail Store	0.0	0.0	75.0	8835104.0	65.14	47.70798492	-122.32534027
NonResidential	Hospital	62	1.0	10.0	0	Hospital (General Medical & Surgical)	879000.0	Hospital (General Medical & Surgical)	0.0	0.0	13.0	251191824.0	8046.7	47.66356652	-122.2813832
NonResidential	Other	19	1.0	3.0	0	Financial Office	28636.0	Parking	15385.0	8644.0	74.0	3091559.0	80.49	47.70952866	-122.3346575
SPS-District K-12	K-12 School	16	1.0	2.0	0	K-12 School	242795.0	K-12 School	0.0	0.0	82.0	8728584.0	119.09	47.67678666	-122.3739682
NonResidential	Self-Storage Facility	105	1.0	5.0	0	Self-Storage Facility	85521.0	Self-Storage Facility	0.0	0.0	81.4	1136698.0	40.35	47.61229181	-122.3170942
Campus	College/University	45	11.0	2.0	111625	College/University	667265.0	College/University	0.0	0.0	57.0	37117212.0	440.31	47.69879162	-122.3338342
SPS-District K-12	K-12 School	63	1.0	2.0	0	K-12 School	173185.0	K-12 School	0.0	0.0	72.0	6863464.0	282.34	47.54657866	-122.2820193
